i,H,r,Lz,γu,γd,M,energy,error_r,error_a
10,5.0,5.0,55.0,1.0,1.0,9,-0.004266899233490034,0.07798044695893727,0.00036087597953736797
10,5.0,5.0,55.0,1.0,1.0,11,0.08003447687319919,18.294374335187765,0.08466225208622659
10,5.0,5.0,55.0,1.0,1.0,13,0.08438623158512353,19.234730016179775,0.08901400679815093
10,5.0,5.0,55.0,1.0,1.0,15,0.0843918655843023,19.23594744764942,0.0890196407973297
1,5.0,5.0,55.0,1.0,1.0,1,0.0010410406516174493,0.278080991712587,0.00040100567167729133
2,5.0,5.0,55.0,1.0,1.0,1,0.00538872747738107,0.0342387040286643,0.00019104414927253142
3,5.0,5.0,55.0,1.0,1.0,1,193.9564924679097,8.721459589295876e-7,0.0001691585186449629
4,5.0,5.0,55.0,1.0,1.0,1,-0.007903012925377003,0.03833757422074549,0.0002917956087850667
5,5.0,5.0,55.0,1.0,1.0,1,0.3468830664111902,0.0010436142621192217,0.0003623903110914761
6,5.0,5.0,55.0,1.0,1.0,1,-0.01994516689183467,0.0014438986882076485,2.8840442989001847e-5
7,5.0,5.0,55.0,1.0,1.0,1,0.045147238381639115,0.0011616588088102623,5.2506682009165195e-5
8,5.0,5.0,55.0,1.0,1.0,1,-0.009117037809087453,0.005021971663666381,4.5556720972001266e-5
9,5.0,5.0,55.0,1.0,1.0,1,0.13554485920117829,0.0020578530496489856,0.0002795065853504475
10,5.0,5.0,55.0,1.0,1.0,1,-0.004769839628891636,0.030698210117102605,0.00014206441586423445
1,5.0,5.0,55.0,1.0,1.0,3,0.0014412638102019718,0.0005426407460898244,7.825130927687461e-7
2,5.0,5.0,55.0,1.0,1.0,3,0.005579431212594508,6.1008600686639626e-5,3.404140590931512e-7
3,5.0,5.0,55.0,1.0,1.0,3,193.95666132769375,1.540213098829607e-9,2.987345908422867e-7
4,5.0,5.0,55.0,1.0,1.0,3,-0.007611767715754516,7.231420936822137e-5,5.503991625790614e-7
5,5.0,5.0,55.0,1.0,1.0,3,0.3472447653541372,1.991007027242181e-6,6.913681445119835e-7
6,5.0,5.0,55.0,1.0,1.0,3,-0.019973955287440982,2.6057556611433714e-6,5.2047382688436006e-8
7,5.0,5.0,55.0,1.0,1.0,3,0.04519966762439972,1.7132673746985144e-6,7.743924856223883e-8
8,5.0,5.0,55.0,1.0,1.0,3,-0.009071550377190521,7.638121536771275e-6,6.928907506954796e-8
9,5.0,5.0,55.0,1.0,1.0,3,0.13582385193525373,3.7832039341901302e-6,5.138512750024748e-7
