i,H,M,γu,γd,energy,error_r,error_a
1,5.0,5,0.95,0.95,2.5317309873609144,5.723296116839146e-9,1.4489846211773738e-8
1,5.0,7,0.95,0.95,2.531731001831714,7.52313026436688e-12,1.9046542121259336e-11
1,5.0,9,0.95,0.95,2.5317310018558166,1.9970350919773583e-12,5.055955654142963e-12
1,5.0,11,0.95,0.95,2.5317310018561763,2.1391166400231783e-12,5.415667914121514e-12
1,5.0,13,0.95,0.95,2.5317310018564925,2.2640080748486395e-12,5.731859431534758e-12
1,5.0,15,0.95,0.95,2.531731001855922,2.0386071004796536e-12,5.161204796877428e-12
1,5.0,17,0.95,0.95,2.5317310018554426,1.8493404457371353e-12,4.68203253944921e-12
1,5.0,19,0.95,0.95,2.5317310018550154,1.6805966812679024e-12,4.25481871957345e-12
1,5.0,21,0.95,0.95,2.5317310018543076,1.4009942274592147e-12,3.54694051907245e-12
1,5.0,23,0.95,0.95,2.5317310018544252,1.4474776968816126e-12,3.664624159682717e-12
1,5.0,25,0.95,0.95,2.531731001852879,8.367024496031619e-13,2.1183055309847987e-12
1,5.0,27,0.95,0.95,2.5317310018532115,9.680840292159016e-13,2.4509283491624956e-12
1,5.0,29,0.95,0.95,2.531731001853363,1.0278986068500061e-12,2.602362769721367e-12
1,5.0,1,1.0,1.0,2.7158153467447583,0.0018807803395217671,0.005117476959983325
1,5.0,3,1.0,1.0,2.7209222896961025,3.871469573735614e-6,1.0534008639151438e-5
1,5.0,5,1.0,1.0,2.720932803809777,7.3118177021463056e-9,1.9894964786715263e-8
1,5.0,7,1.0,1.0,2.7209328235908927,4.1841874702440455e-11,1.138489302832113e-10
1,5.0,9,1.0,1.0,2.7209328236277788,2.8285476158237056e-11,7.69628805130651e-11
1,5.0,11,1.0,1.0,2.7209328236278187,2.8270787067592002e-11,7.69229124841786e-11
1,5.0,13,1.0,1.0,2.720932823627944,2.8224761250237492e-11,7.679767932700088e-11
1,5.0,15,1.0,1.0,2.7209328236281616,2.814478731228108e-11,7.658007561417435e-11
1,5.0,17,1.0,1.0,2.720932823627467,2.840005106526849e-11,7.727463113837985e-11
1,5.0,19,1.0,1.0,2.7209328236281047,2.8165678463420714e-11,7.663691903303516e-11
1,5.0,21,1.0,1.0,2.7209328236275407,2.8372957853634274e-11,7.720091232954474e-11
1,5.0,23,1.0,1.0,2.720932823628024,2.8195383068947382e-11,7.671774326922787e-11
1,5.0,25,1.0,1.0,2.7209328236270567,2.8550859062557724e-11,7.76849695682813e-11
1,5.0,27,1.0,1.0,2.720932823627918,2.823422755309764e-11,7.682343650117218e-11
1,5.0,29,1.0,1.0,2.720932823627229,2.8487532760665708e-11,7.751266295485948e-11
1,1.0,1,0.6,0.6,11.788196594975991,0.03746794560664338,0.4588725194189518
1,1.0,3,0.6,0.6,12.215864122514128,0.00254795588963705,0.031204991880814603
1,1.0,5,0.6,0.6,12.24427546069617,0.0002281079393509932,0.0027936536987738236
1,1.0,7,0.6,0.6,12.24679811779443,2.21274655986264e-5,0.00027099660051277397
1,1.0,9,0.6,0.6,12.247042061946136,2.2088916584539925e-6,2.7052448807296514e-5
1,1.0,11,0.6,0.6,12.24706638070106,2.2321208913600017e-7,2.7336938828170787e-6
1,1.0,13,0.6,0.6,12.247068836481617,2.2692231384835248e-8,2.7791332612991937e-7
1,1.0,15,0.6,0.6,12.247069086049382,2.3144770639120368e-9,2.8345560565412597e-8
1,1.0,17,0.6,0.6,12.247069111498806,2.364758977653946e-10,2.8961366638213804e-9
1,1.0,19,0.6,0.6,12.247069114100178,2.4068215706396085e-11,2.9476510121639876e-10
1,1.0,21,0.6,0.6,12.247069114365043,2.4413709142574872e-12,2.9899638320785016e-11
1,1.0,23,0.6,0.6,12.24706911439336,1.2923369086284583e-13,1.5827339439056232e-12
1,1.0,25,0.6,0.6,12.247069114396144,9.804935468382019e-14,1.2008172234345693e-12
1,1.0,27,0.6,0.6,12.247069114395337,3.219964014764509e-14,3.943512183468556e-13
1,1.0,29,0.6,0.6,12.247069114394973,2.4657382095043536e-15,3.019806626980426e-14
1,1.0,1,0.95,0.95,19.69708707027121,0.06972643373192734,1.4763481260968128
1,1.0,3,0.95,0.95,20.908363849562484,0.012519052498907066,0.2650713468055379
1,1.0,5,0.95,0.95,21.112954275899046,0.0028564529046921196,0.060480920468975796
1,1.0,7,0.95,0.95,21.158643287603518,0.0006986069396543475,0.014791908764504313
1,1.0,9,0.95,0.95,21.169725050610516,0.00017522644403690903,0.003710145757505501
1,1.0,11,0.95,0.95,21.1724943186228,4.443670743534412e-5,0.0009408777452222239
1,1.0,13,0.95,0.95,21.173195271583253,1.133140572341208e-5,0.00023992478476841939
1,1.0,15,0.95,0.95,21.173373829600866,2.8982905507167077e-6,6.136676715584599e-5
1,1.0,17,0.95,0.95,21.173419472976715,7.425999211442779e-7,1.572339130717637e-5
1,1.0,19,0.95,0.95,21.173431163621856,1.9046253610003082e-7,4.0327461654499075e-6
1,1.0,21,0.95,0.95,21.173434161423607,4.887938140479283e-8,1.0349444146129372e-6
1,1.0,23,0.95,0.95,21.17343493067154,1.2548576990025303e-8,2.6569648170493565e-7
1,1.0,25,0.95,0.95,21.173435128143005,3.222198765313954e-9,6.822501674719206e-8
1,1.0,27,0.95,0.95,21.17343517884619,8.275384194701426e-10,1.7521831097155882e-8
1,1.0,29,0.95,0.95,21.173435191866854,2.125856006373147e-10,4.5011674387751555e-9
1,1.0,1,1.0,1.0,20.826928566741934,0.07574365943438983,1.7067860020936294
1,1.0,3,1.0,1.0,22.191087728134704,0.015205075916543156,0.34262684070085925
1,1.0,5,1.0,1.0,22.446836826282524,0.0038554558897800203,0.08687774255303893
1,1.0,7,1.0,1.0,22.510145955463535,0.0010459266846587108,0.02356861337202787
1,1.0,9,1.0,1.0,22.527161391434763,0.00029081656203559157,0.006553177400800081
1,1.0,11,1.0,1.0,22.53187276113279,8.173564536589499e-5,0.001841807702774645
1,1.0,13,1.0,1.0,22.533194103736648,2.3097172786394007e-5,0.0005204650989156789
1,1.0,15,1.0,1.0,22.533567055113803,6.546356185960357e-6,0.0001475137217603617
1,1.0,17,1.0,1.0,22.53367268799928,1.8585855498307835e-6,4.188083628164918e-5
1,1.0,19,1.0,1.0,22.533702666504094,5.282010399351347e-7,1.1902331468860439e-5
1,1.0,21,1.0,1.0,22.53371118427163,1.5020000017708177e-7,3.384563932229412e-6
1,1.0,23,1.0,1.0,22.533713606083154,4.272497578724934e-8,9.62752409350287e-7
1,1.0,25,1.0,1.0,22.53371429494261,1.2154807131422591e-8,2.7389295453872364e-7
1,1.0,27,1.0,1.0,22.53371449092742,3.457403514106113e-9,7.790814393615619e-8
1,1.0,29,1.0,1.0,22.533714546694725,9.825649663000637e-10,2.214083849594317e-8
