H,s,Lz,γu,γd,M,error_r
1.0,5.0,91.0,1.0,1.0,48,4.751962641847188e-12
1.0,5.0,91.0,1.0,1.0,49,6.649435462085086e-12
1.0,5.0,91.0,1.0,1.0,50,1.3391497523934967e-11
1.0,3.0,5.0,0.6,0.6,9,0.5104928163586042
1.0,3.0,10.0,0.6,0.6,9,0.04906982728267313
1.0,3.0,15.0,0.6,0.6,9,0.002588282647733184
1.0,3.0,20.0,0.6,0.6,9,8.613956981152768e-5
1.0,3.0,25.0,0.6,0.6,9,6.431378553939162e-5
1.0,3.0,30.0,0.6,0.6,9,6.890376618127515e-5
1.0,3.0,35.0,0.6,0.6,9,7.161144206945267e-5
1.0,3.0,40.0,0.6,0.6,9,7.287737039104341e-5
1.0,3.0,45.0,0.6,0.6,9,7.311812418111335e-5
1.0,3.0,50.0,0.6,0.6,9,7.027063276128226e-5
1.0,4.0,5.0,0.6,0.6,17,0.5456153439479192
1.0,4.0,10.0,0.6,0.6,17,0.05692747494339562
1.0,4.0,15.0,0.6,0.6,17,0.0052472748432784615
1.0,4.0,20.0,0.6,0.6,17,0.0003449275916235858
1.0,4.0,25.0,0.6,0.6,17,1.6295195778856667e-5
1.0,4.0,30.0,0.6,0.6,17,6.887586677577642e-7
1.0,4.0,35.0,0.6,0.6,17,4.814606410041466e-8
1.0,4.0,40.0,0.6,0.6,17,4.113244229561505e-8
1.0,4.0,45.0,0.6,0.6,17,3.975643319619203e-8
1.0,4.0,50.0,0.6,0.6,17,3.992020484639155e-8
1.0,5.0,5.0,0.6,0.6,25,0.5496980580019502
1.0,5.0,10.0,0.6,0.6,25,0.05727334140118959
1.0,5.0,15.0,0.6,0.6,25,0.005280500630836569
1.0,5.0,20.0,0.6,0.6,25,0.0004500221917680972
1.0,5.0,25.0,0.6,0.6,25,3.5169916122374184e-5
1.0,5.0,30.0,0.6,0.6,25,1.8826069228889127e-6
1.0,5.0,35.0,0.6,0.6,25,8.534423603513347e-8
1.0,5.0,40.0,0.6,0.6,25,3.73096995847916e-9
1.0,5.0,45.0,0.6,0.6,25,1.5901008159462531e-10
1.0,5.0,50.0,0.6,0.6,25,6.580237968615908e-12
1.0,3.0,5.0,1.0,1.0,16,5.571688602703915
1.0,3.0,10.0,1.0,1.0,16,2.117382016681428
1.0,3.0,15.0,1.0,1.0,16,1.4708928464475248
1.0,3.0,20.0,1.0,1.0,16,0.1714469628893027
1.0,3.0,25.0,1.0,1.0,16,0.008472277153557596
1.0,3.0,30.0,1.0,1.0,16,0.0002937258957303548
1.0,3.0,35.0,1.0,1.0,16,9.48238283673745e-5
1.0,3.0,40.0,1.0,1.0,16,0.00011276670332073059
1.0,3.0,45.0,1.0,1.0,16,0.0001053820837245871
1.0,3.0,50.0,1.0,1.0,16,0.00011194638275339327
1.0,3.0,55.0,1.0,1.0,16,0.0001062119208948578
1.0,3.0,60.0,1.0,1.0,16,0.0001096646411016454
1.0,3.0,65.0,1.0,1.0,16,0.00010530803514482537
1.0,3.0,70.0,1.0,1.0,16,0.00011043087360839468
1.0,3.0,75.0,1.0,1.0,16,0.00010621877799507231
1.0,3.0,80.0,1.0,1.0,16,0.00010738113851872899
1.0,3.0,85.0,1.0,1.0,16,0.00010672800634614136
1.0,3.0,90.0,1.0,1.0,16,0.00010911018198443913
1.0,3.0,95.0,1.0,1.0,16,0.0001052693833044548
1.0,3.0,100.0,1.0,1.0,16,0.00010866783696523015
1.0,4.0,5.0,1.0,1.0,31,12.685323340310648
1.0,4.0,10.0,1.0,1.0,31,6.027885148370561
1.0,4.0,15.0,1.0,1.0,31,3.842615078643415
1.0,4.0,20.0,1.0,1.0,31,2.183687785109649
1.0,4.0,25.0,1.0,1.0,31,2.1489827471307876
1.0,4.0,30.0,1.0,1.0,31,1.6692699323591111
1.0,4.0,35.0,1.0,1.0,31,0.17165020425829114
1.0,4.0,40.0,1.0,1.0,31,0.00856797216155848
1.0,4.0,45.0,1.0,1.0,31,0.0003834811476369806
1.0,4.0,50.0,1.0,1.0,31,1.668006749800668e-5
1.0,4.0,55.0,1.0,1.0,31,6.761307381059729e-7
1.0,4.0,60.0,1.0,1.0,31,7.965705708492244e-8
1.0,4.0,65.0,1.0,1.0,31,7.57956268910082e-8
1.0,4.0,70.0,1.0,1.0,31,7.634740902577622e-8
1.0,4.0,75.0,1.0,1.0,31,7.444384442898198e-8
1.0,4.0,80.0,1.0,1.0,31,6.929528558684923e-8
1.0,4.0,85.0,1.0,1.0,31,6.913477047208917e-8
1.0,4.0,90.0,1.0,1.0,31,7.030042299693804e-8
1.0,4.0,95.0,1.0,1.0,31,7.127174742216675e-8
1.0,4.0,100.0,1.0,1.0,31,6.821159038520551e-8
1.0,5.0,5.0,1.0,1.0,45,19.244312992922556
1.0,5.0,10.0,1.0,1.0,45,9.003217881976619
1.0,5.0,15.0,1.0,1.0,45,5.811135050320995
1.0,5.0,20.0,1.0,1.0,45,4.436031329943127
1.0,5.0,25.0,1.0,1.0,45,2.310454031970823
1.0,5.0,30.0,1.0,1.0,45,2.241186221666267
1.0,5.0,35.0,1.0,1.0,45,2.223264526886046
1.0,5.0,40.0,1.0,1.0,45,2.194829580612001
1.0,5.0,45.0,1.0,1.0,45,1.3500321839758678
1.0,5.0,50.0,1.0,1.0,45,0.09602942283518286
1.0,5.0,55.0,1.0,1.0,45,0.0046227794606152894
1.0,5.0,60.0,1.0,1.0,45,0.00020521257184536034
1.0,5.0,65.0,1.0,1.0,45,8.931752526064323e-6
1.0,5.0,70.0,1.0,1.0,45,3.867211785694273e-7
1.0,5.0,75.0,1.0,1.0,45,1.6716735900809562e-8
1.0,5.0,80.0,1.0,1.0,45,7.186068283861847e-10
1.0,5.0,85.0,1.0,1.0,45,2.729619545513922e-11
1.0,5.0,90.0,1.0,1.0,45,4.7053297375823165e-12
1.0,5.0,95.0,1.0,1.0,45,4.753365159289832e-12
1.0,5.0,100.0,1.0,1.0,45,4.787439802695061e-12
