H,γu,γd,i,energy_exact
0.5,-0.6,-0.6,4,-24.75453539438487
0.5,0.95,0.95,4,51.4178704069643
0.5,0.95,-0.95,4,11.432972219394708
0.5,-0.95,-0.95,4,-38.09024832407796
0.5,1.0,1.0,4,56.23564928418405
0.5,1.0,-1.0,4,11.949640759806757
0.5,-1.0,-1.0,4,-39.99219999976141
0.1,0.3,0.3,4,66.89192158534865
0.1,0.5,0.5,4,117.8695870866966
0.1,0.6,0.6,4,146.53053239185033
0.1,0.6,-0.6,4,40.08582479348161
0.1,-0.6,-0.6,4,-122.20749186573416
0.1,0.95,0.95,4,308.94035847270845
0.1,0.95,-0.95,4,58.649290862905374
0.1,-0.95,-0.95,4,-189.20269149474632
0.1,1.0,1.0,4,375.6906178062194
0.1,1.0,-1.0,4,61.1893931627738
0.1,-1.0,-1.0,4,-198.74030283645286
10.0,0.0,0.0,4,0.1415135206679219
5.0,0.0,0.0,4,0.16710465899160187
1.0,0.0,0.0,4,-0.1988228957707059
0.5,0.0,0.0,4,-0.7700067968646418
0.1,0.0,0.0,4,-0.8651124467208646
10.0,0.3,0.3,5,-0.27536566030982623
10.0,0.5,0.5,5,-0.01893193381772429
10.0,0.6,0.6,5,0.10928769796668769
10.0,0.6,-0.6,5,-1.0509764324269475
10.0,-0.6,-0.6,5,-1.429226835795161
10.0,0.95,0.95,5,0.5580710102719757
10.0,0.95,-0.95,5,-1.2790747811504524
10.0,-0.95,-0.95,5,-1.8779110009593576
10.0,1.0,1.0,5,0.6221847726088958
10.0,1.0,-1.0,5,-1.3116620690805685
10.0,-1.0,-1.0,5,-1.9420069441797514
5.0,0.3,0.3,5,-0.5905379993448023
5.0,0.5,0.5,5,-0.03011614766980486
5.0,0.6,0.6,5,0.2502077553015969
5.0,0.6,-0.6,5,-2.284435697611612
5.0,-0.6,-0.6,5,-3.109245795204951
5.0,0.95,0.95,5,1.2319818876338111
5.0,0.95,-0.95,5,-2.783388892184048
5.0,-0.95,-0.95,5,-4.087615703411032
5.0,1.0,1.0,5,1.3723213427986538
5.0,1.0,-1.0,5,-2.8547174345253734
5.0,-1.0,-1.0,5,-4.227342721936461
1.0,0.3,0.3,5,2.7948135461758237
1.0,0.5,0.5,5,6.3451333507894105
1.0,0.6,0.6,5,8.169183621888973
1.0,0.6,-0.6,5,-6.871943483096088
1.0,-0.6,-0.6,5,-12.241159022733768
1.0,0.95,0.95,5,14.936286188927603
1.0,0.95,-0.95,5,-9.678796563008394
1.0,-0.95,-0.95,5,-17.880640412823883
1.0,1.0,1.0,5,15.971608210728743
1.0,1.0,-1.0,5,-10.084819080802601
1.0,-1.0,-1.0,5,-18.683131914787836
0.5,0.3,0.3,5,8.715149651963593
0.5,0.5,0.5,5,16.640159546160728
0.5,0.6,0.6,5,20.816721358296512
0.5,0.6,-0.6,5,-11.883214556401684
0.5,-0.6,-0.6,5,-23.44540053569368
0.5,0.95,0.95,5,37.59120843155542
0.5,0.95,-0.95,5,-17.889949646253363
0.5,-0.95,-0.95,5,-35.25714591276734
0.5,1.0,1.0,5,40.49886728817908
0.5,1.0,-1.0,5,-18.758778907417923
0.5,-1.0,-1.0,5,-36.935363124181535
0.1,0.3,0.3,5,59.786856110318936
0.1,0.5,0.5,5,106.17041193157144
0.1,0.6,0.6,5,131.867759447119
0.1,0.6,-0.6,5,-53.094253394123434
0.1,-0.6,-0.6,5,-114.48785217125662
0.1,0.95,0.95,5,262.1609017803973
0.1,0.95,-0.95,5,-86.73295096130497
0.1,-0.95,-0.95,5,-176.06766618115446
0.1,1.0,1.0,5,302.2963206431667
0.1,1.0,-1.0,5,-91.59211135894157
0.1,-1.0,-1.0,5,-184.77941794038378
10.0,0.0,0.0,5,-0.6600024655583869
5.0,0.0,0.0,5,-1.4306469273403328
1.0,0.0,0.0,5,-2.3496983786941983
0.5,0.0,0.0,5,-2.465617873007945
0.1,0.0,0.0,5,-2.5143618358535442
10.0,0.3,0.3,6,1.5213885313787663
10.0,0.5,0.5,6,1.7436972576200254
10.0,0.6,0.6,6,1.8548517884759623
10.0,0.6,-0.6,6,0.9363861238441649
10.0,-0.6,-0.6,6,0.5210038744513676
10.0,0.95,0.95,6,2.2438936067246993
10.0,0.95,-0.95,6,0.7896529793202962
10.0,-0.95,-0.95,6,0.13196694104658935
10.0,1.0,1.0,6,2.2994711390364597
10.0,1.0,-1.0,6,0.7686910183911762
10.0,-1.0,-1.0,6,0.07639028664488912
5.0,0.3,0.3,6,1.4967843219814458
5.0,0.5,0.5,6,2.0624067130625274
5.0,0.6,0.6,6,2.345328460753826
5.0,0.6,-0.6,6,0.015847141146976718
5.0,-0.6,-0.6,6,-1.0458305553181466
5.0,0.95,0.95,6,3.3362185349697113
5.0,0.95,-0.95,6,-0.35416738094794553
5.0,-0.95,-0.95,6,-2.0339509008975503
5.0,1.0,1.0,6,3.4778667777189587
5.0,1.0,-1.0,6,-0.4070702735724465
5.0,-1.0,-1.0,6,-2.175101171394602
1.0,0.3,0.3,6,5.28383333100728
1.0,0.5,0.5,6,9.15232855213963
1.0,0.6,0.6,6,11.187879313816616
1.0,0.6,-0.6,6,-4.133990966325985
1.0,-0.6,-0.6,6,-10.178250083427654
1.0,0.95,0.95,6,19.102431832652826
1.0,0.95,-0.95,6,-6.825787980531651
1.0,-0.95,-0.95,6,-15.768894658738498
1.0,1.0,1.0,6,20.37381646106818
1.0,1.0,-1.0,6,-7.221902199857956
1.0,-1.0,-1.0,6,-16.562059542383864
0.5,0.3,0.3,6,10.795696199071884
0.5,0.5,0.5,6,19.24691959627159
0.5,0.6,0.6,6,23.88376261629132
0.5,0.6,-0.6,6,-8.83092419631064
0.5,-0.6,-0.6,6,-20.774148938782382
0.5,0.95,0.95,6,44.366448605465365
0.5,0.95,-0.95,6,-14.547650517957722
0.5,-0.95,-0.95,6,-31.863393164921387
0.5,1.0,1.0,6,48.31376003722771
0.5,1.0,-1.0,6,-15.379126997958092
0.5,-1.0,-1.0,6,-33.43806287633623
0.1,0.3,0.3,6,56.76083569801993
0.1,0.5,0.5,6,101.32769472213936
0.1,0.6,0.6,6,126.8630379618356
0.1,0.6,-0.6,6,-43.62576529102482
0.1,-0.6,-0.6,6,-102.94690865363503
0.1,0.95,0.95,6,278.6196530186624
0.1,0.95,-0.95,6,-72.5788442398756
0.1,-0.95,-0.95,6,-158.50266238070128
0.1,1.0,1.0,6,339.16624331933275
0.1,1.0,-1.0,6,-76.74349151622937
0.1,-1.0,-1.0,6,-166.4021770898353
10.0,0.0,0.0,6,1.187926210685485
5.0,0.0,0.0,6,0.6488304501356468
1.0,0.0,0.0,6,-0.14373444340144337
0.5,0.0,0.0,6,-0.5547765271527538
0.1,0.0,0.0,6,-1.2272998329128324
10.0,0.3,0.3,7,-0.5695106103709606
10.0,0.5,0.5,7,-0.294652430319124
10.0,0.6,0.6,7,-0.1572334546751195
10.0,0.6,-0.6,7,-0.43031971712646033
10.0,-0.6,-0.6,7,-1.8067069828747964
10.0,0.95,0.95,7,0.32367992725717
10.0,0.95,-0.95,7,-0.108482264529417
10.0,-0.95,-0.95,7,-2.2879871767505
10.0,1.0,1.0,7,0.3923751112431604
10.0,1.0,-1.0,7,-0.062498732782005906
10.0,-1.0,-1.0,7,-2.356748285604927
5.0,0.3,0.3,7,-0.2724343156277671
5.0,0.5,0.5,7,0.371540911416782
5.0,0.6,0.6,7,0.6932209529891487
5.0,0.6,-0.6,7,-0.11875115417569271
5.0,-0.6,-0.6,7,-3.1812095116135732
5.0,0.95,0.95,7,1.8175470018055386
5.0,0.95,-0.95,7,0.5389686463791032
5.0,-0.95,-0.95,7,-4.317623975207332
5.0,1.0,1.0,7,1.977973474523235
5.0,1.0,-1.0,7,0.6331472168355932
5.0,-1.0,-1.0,7,-4.480225497377992
1.0,0.3,0.3,7,3.733154218790931
1.0,0.5,0.5,7,7.859542860201408
1.0,0.6,0.6,7,9.961943092399475
1.0,0.6,-0.6,7,3.3236567702527307
1.0,-0.6,-0.6,7,-14.133723324508065
1.0,0.95,0.95,7,17.63565164675113
1.0,0.95,-0.95,7,6.46516733304996
1.0,-0.95,-0.95,7,-20.980471296559166
1.0,1.0,1.0,7,18.78954146299398
1.0,1.0,-1.0,7,6.908146485842233
1.0,-1.0,-1.0,7,-21.962807180479178
0.5,0.3,0.3,7,10.454654291654721
0.5,0.5,0.5,7,19.58354965416336
0.5,0.6,0.6,7,24.33644479814772
0.5,0.6,-0.6,7,8.391113936194635
0.5,-0.6,-0.6,7,-27.522599787746742
0.5,0.95,0.95,7,42.842988917895106
0.5,0.95,-0.95,7,14.254706232399744
0.5,-0.95,-0.95,7,-41.74401129294137
0.5,1.0,1.0,7,45.93048775029918
0.5,1.0,-1.0,7,15.074683715720122
0.5,-1.0,-1.0,7,-43.78048212184854
0.1,0.3,0.3,7,69.4575149842139
0.1,0.5,0.5,7,122.37380336868192
0.1,0.6,0.6,7,151.28449435636318
0.1,0.6,-0.6,7,48.32240690042912
0.1,-0.6,-0.6,7,-134.79789623077318
0.1,0.95,0.95,7,290.47526458739094
0.1,0.95,-0.95,7,73.49226111043893
0.1,-0.95,-0.95,7,-208.41181457459604
0.1,1.0,1.0,7,329.62034717710065
0.1,1.0,-1.0,7,76.99433730057432
