i,H,rr,energy,error_r,error_a
3,0.1,0.0,67.33932186289529,52.467931198160784,68.64769622913175
3,0.1,1.0000000000000002,-1.3069230192915589,0.0011092749769127893,0.0014513469449002336
3,0.1,2.0,-1.3083724273289903,1.4819210149910704e-6,1.938907468801432e-6
3,0.1,3.0,-1.308374362722033,2.6861012980507407e-9,3.514426083484068e-9
3,0.1,4.0,-1.3083743662306504,4.439621422381972e-12,5.808686864838819e-12
3,0.1,5.0,-1.308374366236996,4.1035950303209505e-13,5.369038547087257e-13
3,0.1,6.0,-1.3083743662375449,8.298833622113089e-13,1.085798118083403e-12
3,0.1,7.000000000000002,-1.3083743662377028,9.505473848150391e-13,1.2436718321851004e-12
3,0.1,8.000000000000002,-1.3083743662378176,1.0382876094087502e-12,1.3584688929313415e-12
3,0.1,9.000000000000002,-1.3083743662381568,1.2976049463124065e-12,1.6977530492567894e-12
3,0.1,10.000000000000002,-1.3083743662382252,1.3498757184107875e-12,1.766142787573699e-12
4,10.0,0.0,0.2061459977485671,0.4567229814903193,0.0646324770806452
4,10.0,2.0,0.1415139118705988,2.7644190821686986e-6,3.912026769192778e-7
4,10.0,2.0,0.1415139118705997,2.764419088444978e-6,3.912026778074562e-7
4,10.0,4.0,0.1415135206683934,3.331919920675012e-12,4.71511718558304e-13
4,10.0,4.0,0.1415135206684245,3.5515897058855145e-12,5.025979632478084e-13
4,10.0,6.0,0.14151352066656497,9.588586124438427e-12,1.3569145806968663e-12
4,10.0,6.0,0.14151352066657563,9.513270769509112e-12,1.3462564396604648e-12
4,10.0,8.0,0.1415135206662475,1.1831963805900682e-11,1.6743828545884298e-12
4,10.0,8.0,0.1415135206660299,1.3369652302374198e-11,1.8919865674149605e-12
4,10.0,10.0,0.1415135206658369,1.4733566308047263e-11,2.084998840246044e-12
4,10.0,10.0,0.141513520665852,1.4626869555230734e-11,2.069899807111142e-12
4,5.0,0.0,0.38383068270927967,1.2969478231517753,0.2167260237176778
4,5.0,1.0,0.16759467710361275,0.0029324024534558802,0.0004900181120108815
4,5.0,2.0,0.16710557306982116,5.470094160144563e-6,9.1407821928291e-7
4,5.0,3.0,0.1671046606978327,1.0210552079106777e-8,1.7062308232951295e-9
4,5.0,4.0,0.16710465899401097,1.4416717710012001e-11,2.409100696709743e-12
4,5.0,5.0,0.16710465899066063,5.632680057858301e-12,9.412470802772077e-13
4,5.0,6.0,0.16710465899039825,7.2027946068950586e-12,1.2036205365717478e-12
4,5.0,7.0,0.16710465899018848,8.458155419506908e-12,1.4133971770746712e-12
4,5.0,8.0,0.16710465898961913,1.1865302329947086e-11,1.982747299678067e-12
4,5.0,9.0,0.16710465898969368,1.1419165899320542e-11,1.908195823574488e-12
4,5.0,10.0,0.1671046589890164,1.547209778454702e-11,2.585459624171449e-12
4,1.0,0.0,8.209900181014122,42.29252895744087,8.408723076784828
4,1.0,1.0,-0.19403029084577567,0.024104894490910807,0.004792604924930222
4,1.0,2.0,-0.19881406091133264,4.4435824853095485e-5,8.834859373252346e-6
4,1.0,3.0,-0.19882287928709272,8.290601092477025e-8,1.64836131688606e-8
4,1.0,4.0,-0.19882289574072626,1.507856012935427e-10,2.997962988970926e-11
4,1.0,5.0,-0.19882289577190404,6.0262309505704424e-12,1.198152688175469e-12
4,1.0,6.0,-0.19882289577193826,6.198357126489025e-12,1.2323753129095394e-12
4,1.0,7.0,-0.19882289577218323,7.430462259220092e-12,1.4773460232930802e-12
4,1.0,8.0,-0.19882289577227796,7.906915331734383e-12,1.5720758028692217e-12
4,1.0,9.0,-0.19882289577243284,8.685880507424317e-12,1.726951914804431e-12
4,1.0,10.0,-0.19882289577261628,9.608493562287179e-12,1.9103885140481225e-12
4,0.5,0.0,19.989554402731017,26.96023110981051,20.75956119959566
4,0.5,1.0,-0.7634399326482627,0.008528319805900967,0.006566864216379087
4,0.5,2.0,-0.769994718647443,1.5685857901542855e-5,1.2078217198840946e-5
4,0.5,3.0,-0.7700067743324808,2.9262288485798575e-8,2.253216102587885e-8
4,0.5,4.0,-0.7700067968233806,5.3585522664993125e-11,4.126121666558902e-11
4,0.5,5.0,-0.7700067968655333,1.1577937914367755e-12,8.915090887740007e-13
4,0.5,6.0,-0.7700067968657609,1.4533700395619798e-12,1.1191048088221578e-12
4,0.5,7.0,-0.7700067968660168,1.785713089283246e-12,1.3750112159982564e-12
4,0.5,8.0,-0.7700067968661405,1.9463335480205522e-12,1.4986900609414988e-12
4,0.5,9.0,-0.7700067968663424,2.2086033994057944e-12,1.7006396291208148e-12
4,0.5,10.0,-0.7700067968665655,2.4982681225684943e-12,1.9236834347680087e-12
4,0.1,0.0,112.44499506794254,130.97731739284964,113.3101075146634
4,0.1,1.0000000000000002,-0.8572104265353498,0.009134096053601722,0.00790202018551478
4,0.1,2.0,-0.8650979169022452,1.6795294848032645e-5,1.4529818619379853e-5
4,0.1,3.0,-0.8651124196145112,3.1332751582575255e-8,2.7106353384098725e-8
4,0.1,4.0,-0.8651124466710499,5.7581772292176625e-11,4.981470791420861e-11
4,0.1,5.0,-0.8651124467217264,9.96119192343673e-13,8.617551117140465e-13
4,0.1,6.0,-0.8651124467220538,1.3745726190663594e-12,1.1891598816760052e-12
4,0.1,7.000000000000002,-0.8651124467221484,1.483912164528458e-12,1.2837508833740685e-12
4,0.1,8.000000000000002,-0.865112446722389,1.7620093417777158e-12,1.52433621281034e-12
4,0.1,9.000000000000002,-0.8651124467224913,1.8803321832284845e-12,1.6266987756807794e-12
4,0.1,10.000000000000002,-0.8651124467228033,2.240947350773669e-12,1.9386714456004484e-12
5,10.0,0.0,-0.5814365519657102,0.1190388183265452,0.07856591359267673
5,10.0,2.0,-0.6600022945914212,2.5903988942086107e-7,1.7096696569574021e-7
5,10.0,2.0,-0.6600022945914168,2.590398961494603e-7,1.709669701366323e-7
