i,H,M,γu,γd,energy,error_r,error_a
9,5.0,5,0.6,0.6,-1.1940496924794641,3.506273125347173e-10,4.186664348537761e-10
9,5.0,7,0.6,0.6,-1.194049692897826,2.551361134876432e-13,3.0464519795714295e-13
9,5.0,9,0.6,0.6,-1.194049692898127,2.975348262246568e-15,3.552713678800501e-15
9,5.0,11,0.6,0.6,-1.194049692898115,1.3017148647328736e-14,1.554312234475219e-14
9,5.0,13,0.6,0.6,-1.194049692898112,1.5620578376794483e-14,1.865174681370263e-14
9,5.0,15,0.6,0.6,-1.194049692898099,2.640621582743829e-14,3.1530333899354446e-14
9,5.0,1,1.0,1.0,-1.0826691136774782,0.002187966282945038,0.002374037831041065
9,5.0,3,1.0,1.0,-1.0850385178473183,4.270485643374526e-6,4.633661200958983e-6
9,5.0,5,1.0,1.0,-1.0850431428460157,7.983556774931004e-9,8.662503603318328e-9
9,5.0,7,1.0,1.0,-1.0850431515059085,2.4061720136003453e-12,2.610800464708518e-12
9,5.0,9,1.0,1.0,-1.0850431515219698,1.2396349370288698e-11,1.3450573987938697e-11
9,5.0,11,1.0,1.0,-1.0850431515219063,1.233782196801878e-11,1.3387069230930138e-11
9,5.0,13,1.0,1.0,-1.0850431515218681,1.2302623670150157e-11,1.3348877558883032e-11
9,5.0,15,1.0,1.0,-1.0850431515219365,1.2365653180286992e-11,1.3417267297199942e-11
10,5.0,1,0.3,0.3,-1.630294441772243,0.00010338360849237514,0.00016856314896207536
10,5.0,3,0.3,0.3,-1.6304629740296992,1.894646226537246e-8,3.08915057978254e-8
10,5.0,5,0.3,0.3,-1.630463004915974,3.208246238666839e-12,5.2309268028238876e-12
10,5.0,7,0.3,0.3,-1.6304630049211992,3.540810009565235e-15,5.773159728050814e-15
10,5.0,9,0.3,0.3,-1.6304630049212032,1.0894800029431492e-15,1.7763568394002505e-15
10,5.0,11,0.3,0.3,-1.6304630049212023,1.634220004414724e-15,2.6645352591003757e-15
10,5.0,13,0.3,0.3,-1.630463004921205,0.0,0.0
10,5.0,15,0.3,0.3,-1.6304630049212037,8.17110002207362e-16,1.3322676295501878e-15
10,5.0,1,0.6,0.6,-1.5690084755898734,0.00041784301910363907,0.0006558732905155296
10,5.0,3,0.6,0.6,-1.5696638665469842,3.072844236515566e-7,4.823334047721062e-7
10,5.0,5,0.6,0.6,-1.5696643485538937,2.0800324317301878e-10,3.2649527526018574e-10
10,5.0,7,0.6,0.6,-1.5696643488801079,1.7908826816102363e-13,2.8110846983508964e-13
10,5.0,9,0.6,0.6,-1.5696643488803441,2.8574905346387655e-14,4.4853010194856324e-14
10,5.0,11,0.6,0.6,-1.5696643488803321,3.6213741429085345e-14,5.684341886080802e-14
10,5.0,13,0.6,0.6,-1.5696643488803312,3.6779581138914804e-14,5.773159728050814e-14
10,5.0,15,0.6,0.6,-1.5696643488803343,3.4799142154511696e-14,5.46229728115577e-14
10,5.0,1,1.0,1.0,-1.487293854013382,0.0011784241787927755,0.0017547308558070185
10,5.0,3,1.0,1.0,-1.4890449841804743,2.4181136541362143e-6,3.6006887147443933e-6
10,5.0,5,1.0,1.0,-1.4890485781279468,4.527214423761096e-9,6.741242231100841e-9
10,5.0,7,1.0,1.0,-1.4890485848870143,1.1970930280785695e-11,1.7825296794171663e-11
10,5.0,9,1.0,1.0,-1.4890485848995532,2.039164869624159e-11,3.036415563428818e-11
10,5.0,11,1.0,1.0,-1.4890485848994972,2.0354070848876707e-11,3.0308200393847073e-11
10,5.0,13,1.0,1.0,-1.4890485848989412,1.9980678270298674e-11,2.9752200703114795e-11
10,5.0,15,1.0,1.0,-1.489048584899288,2.0213601276584173e-11,3.0099034376007694e-11
