H,s,Lz,γu,γd,M,energy,error_r
1.0,5.0,45.0,0.6,0.6,9,25.50676769360448,4.11417041717884e-6
1.0,5.0,45.0,0.6,0.6,10,25.50683885157176,1.3244137777228032e-6
1.0,5.0,45.0,0.6,0.6,11,25.50686198617693,4.1741880812719947e-7
1.0,5.0,45.0,0.6,0.6,12,25.50686919896944,1.3464041288724298e-7
1.0,5.0,45.0,0.6,0.6,13,25.50687154876368,4.251644795183371e-8
1.0,5.0,45.0,0.6,0.6,14,25.50687228308493,1.3727295260473837e-8
1.0,5.0,45.0,0.6,0.6,15,25.506872522619553,4.3363117041763365e-9
1.0,5.0,45.0,0.6,0.6,16,25.506872597591077,1.3970441123388791e-9
1.0,5.0,45.0,0.6,0.6,17,25.506872622080994,4.369139544197465e-10
1.0,5.0,45.0,0.6,0.6,18,25.506872629769617,1.3548056499162494e-10
1.0,5.0,45.0,0.6,0.6,19,25.506872632302585,3.6175265990213535e-11
1.0,5.0,45.0,0.6,0.6,20,25.506872633120416,4.112098235147867e-12
1.0,5.0,45.0,0.6,0.6,21,25.50687263341536,7.451167130287243e-12
1.0,5.0,45.0,0.6,0.6,22,25.50687263353866,1.2285177269807003e-11
1.0,5.0,45.0,0.6,0.6,23,25.506872633613835,1.5232438681442976e-11
1.0,5.0,45.0,0.6,0.6,24,25.50687263367596,1.7668107883015674e-11
1.0,5.0,45.0,0.6,0.6,25,25.506872633740915,2.021464759893914e-11
1.0,5.0,45.0,0.6,0.6,26,25.506872633810477,2.2941839396662787e-11
1.0,5.0,45.0,0.6,0.6,27,25.5068726338871,2.594578962656605e-11
1.0,5.0,45.0,0.6,0.6,28,25.506872633976684,2.9457989236954174e-11
1.0,5.0,45.0,0.6,0.6,29,25.506872634073872,3.326825781808431e-11
1.0,5.0,45.0,0.6,0.6,30,25.506872634184358,3.7599868528881434e-11
1.0,3.0,32.0,1.0,1.0,0,-0.8411087958402568,1.0183643949428558
1.0,3.0,32.0,1.0,1.0,1,41.04455358295973,0.10385149224639355
1.0,3.0,32.0,1.0,1.0,2,43.40424033593531,0.05233114233758267
1.0,3.0,32.0,1.0,1.0,3,44.605105835190095,0.026111979714828645
1.0,3.0,32.0,1.0,1.0,4,45.17381580079503,0.013695019545159295
1.0,3.0,32.0,1.0,1.0,5,45.476274067208934,0.007091280426479026
1.0,3.0,32.0,1.0,1.0,6,45.62891030695268,0.00375868872953166
1.0,3.0,32.0,1.0,1.0,7,45.71090140888507,0.0019685315166563244
1.0,3.0,32.0,1.0,1.0,8,45.75302099085235,0.0010489113178182498
