H,r,Lz,γu,γd,M,error_r
0.5,0.5,5.5,0.6,0.6,85,0.12342647920647294
0.5,0.5,5.5,0.6,0.6,90,0.12342647920647293
0.5,0.5,5.5,0.6,0.6,95,0.12342647920647293
0.5,0.5,5.5,0.6,0.6,100,0.12342647920647294
0.5,0.75,8.0,0.6,0.6,0,1.1249164610240783
0.5,0.75,8.0,0.6,0.6,5,0.015934935607619855
0.5,0.75,8.0,0.6,0.6,10,0.023949403995856215
0.5,0.75,8.0,0.6,0.6,15,0.025594865804040356
0.5,0.75,8.0,0.6,0.6,20,0.02585035909107623
0.5,0.75,8.0,0.6,0.6,25,0.025856653137910652
0.5,0.75,8.0,0.6,0.6,30,0.025857274166277464
0.5,0.75,8.0,0.6,0.6,35,0.025857400165624995
0.5,0.75,8.0,0.6,0.6,40,0.025857403733447887
0.5,0.75,8.0,0.6,0.6,45,0.025857403972211278
0.5,0.75,8.0,0.6,0.6,50,0.025857404026937935
0.5,0.75,8.0,0.6,0.6,55,0.02585740402908016
0.5,0.75,8.0,0.6,0.6,60,0.025857404029177522
0.5,0.75,8.0,0.6,0.6,65,0.02585740402919919
0.5,0.75,8.0,0.6,0.6,70,0.025857404029200167
0.5,0.75,8.0,0.6,0.6,75,0.025857404029199865
0.5,0.75,8.0,0.6,0.6,80,0.02585740402919987
0.5,0.75,8.0,0.6,0.6,85,0.025857404029199876
0.5,0.75,8.0,0.6,0.6,90,0.025857404029199876
0.5,0.75,8.0,0.6,0.6,95,0.025857404029199865
0.5,0.75,8.0,0.6,0.6,100,0.02585740402919986
0.5,1.0,10.5,0.6,0.6,0,1.1249853437085149
0.5,1.0,10.5,0.6,0.6,5,0.005940465606747444
0.5,1.0,10.5,0.6,0.6,10,0.005069537218048916
0.5,1.0,10.5,0.6,0.6,15,0.005498601032021462
0.5,1.0,10.5,0.6,0.6,20,0.00559950767661277
0.5,1.0,10.5,0.6,0.6,25,0.005616018037566165
0.5,1.0,10.5,0.6,0.6,30,0.005616362872797673
0.5,1.0,10.5,0.6,0.6,35,0.005616377593884013
0.5,1.0,10.5,0.6,0.6,40,0.005616380437756872
0.5,1.0,10.5,0.6,0.6,45,0.005616381071477646
0.5,1.0,10.5,0.6,0.6,50,0.005616381087588644
0.5,1.0,10.5,0.6,0.6,55,0.005616381088122598
0.5,1.0,10.5,0.6,0.6,60,0.005616381088203704
0.5,1.0,10.5,0.6,0.6,65,0.005616381088224078
0.5,1.0,10.5,0.6,0.6,70,0.005616381088223832
0.5,1.0,10.5,0.6,0.6,75,0.0056163810882239535
0.5,1.0,10.5,0.6,0.6,80,0.005616381088223982
0.5,1.0,10.5,0.6,0.6,85,0.005616381088223962
0.5,1.0,10.5,0.6,0.6,90,0.005616381088223956
0.5,1.0,10.5,0.6,0.6,95,0.005616381088223951
0.5,1.0,10.5,0.6,0.6,100,0.005616381088223951
0.5,1.25,13.0,0.6,0.6,0,1.1250000257939745
0.5,1.25,13.0,0.6,0.6,5,0.007795881266860546
0.5,1.25,13.0,0.6,0.6,10,0.0010317168151148662
0.5,1.25,13.0,0.6,0.6,15,0.0011907465241538415
0.5,1.25,13.0,0.6,0.6,20,0.0012080341455151904
0.5,1.25,13.0,0.6,0.6,25,0.0012147597300594393
0.5,1.25,13.0,0.6,0.6,30,0.0012158785592516483
