H,M,γu,γd,error_r
0.1,13,0.6,0.6,0.00032648848624984377
0.1,15,0.6,0.6,9.879098653832654e-5
0.1,17,0.6,0.6,3.00111220767932e-5
0.1,19,0.6,0.6,9.150665492803269e-6
0.1,21,0.6,0.6,2.7996609059145046e-6
0.1,23,0.6,0.6,8.592605686907275e-7
0.1,25,0.6,0.6,2.6448842698141993e-7
0.1,27,0.6,0.6,8.163117592487502e-8
0.1,29,0.6,0.6,2.5257208794484263e-8
0.1,1,1.0,1.0,0.894535269848267
0.1,3,1.0,1.0,0.7628078227162364
0.1,5,1.0,1.0,0.645919635333043
0.1,7,1.0,1.0,0.5461047631033015
0.1,9,1.0,1.0,0.4624137582155041
0.1,11,1.0,1.0,0.3926313090481861
0.1,13,1.0,1.0,0.33440416168946413
0.1,15,1.0,1.0,0.2856641997398535
0.1,17,1.0,1.0,0.24470855569762756
0.1,19,1.0,1.0,0.21016254918535918
0.1,21,1.0,1.0,0.18091873144387596
0.1,23,1.0,1.0,0.15608124498430762
0.1,25,1.0,1.0,0.13492129844989048
0.1,27,1.0,1.0,0.11684275703459532
0.1,29,1.0,1.0,0.10135560396580276
